Links	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
https://bmovies.cloud/film/judy-justice-73993/	0.9333	0.8667	0.8833	0.9000	0.8944	0.9033	0.9964	0.9643
https://bmovies.cloud/film/lego-masters-44333/	0.9333	0.8667	0.8833	0.9000	0.8944	0.9033	0.9964	0.9643
https://bmovies.cloud/film/the-brokenwood-mysteries-37090/	0.9333	0.8667	0.8833	0.9000	0.8944	0.9033	0.9964	0.9643
https://bmovies.cloud/film/wicked-tuna-36308/	0.9333	0.8667	0.8833	0.9000	0.8944	0.9033	0.9964	0.9643
https://dopebox.to/tv/watch-mtvs-family-legacy-online-hd-95995	0.8452	0.7954	0.8262	0.8519	0.8223	0.8293	0.9869	0.9283
https://www3.moviecrumbs.net/tv/watch-v-mtvs-family-legacy-.989-95995	0.8452	0.7954	0.8262	0.8519	0.8223	0.8293	0.9869	0.9283
https://www3.moviecrumbs.net/tv/watch-v-family-the-unbreakable-bond-.989-95743	0.8452	0.7954	0.8262	0.8519	0.8223	0.8293	0.9869	0.9283
https://bmovies.cloud/film/amityville-an-origin-story-95785/	0.8452	0.7954	0.8262	0.8519	0.8223	0.8293	0.9869	0.9283
https://dopebox.to/tv/watch-amityville-an-origin-story-online-hd-95785	0.8452	0.7954	0.8262	0.8519	0.8223	0.8293	0.9869	0.9283
https://www3.moviecrumbs.net/tv/watch-v-amityville-an-origin-story-.989-95785	0.8452	0.7954	0.8262	0.8519	0.8223	0.8293	0.9869	0.9283
https://bmovies.cloud/film/american-dad-39504/	0.8452	0.7954	0.8262	0.8519	0.8223	0.8293	0.9869	0.9283
https://bmovies.cloud/film/seeking-brother-husband-96166/	0.8452	0.7954	0.8262	0.8519	0.8223	0.8293	0.9869	0.9283
https://dopebox.to/tv/watch-seeking-brother-husband-online-hd-96166	0.8452	0.7954	0.8262	0.8519	0.8223	0.8293	0.9869	0.9283
https://dopebox.to/tv/watch-rough-diamonds-online-hd-95779	0.8452	0.7954	0.8262	0.8519	0.8223	0.8293	0.9869	0.9283
https://dopebox.to/tv/watch-queen-of-masks-online-hd-96124	0.8332	0.7563	0.7486	0.7364	0.7794	0.7786	0.9605	0.8602
https://www3.moviecrumbs.net/tv/watch-v-queen-of-masks-.989-96124	0.8332	0.7563	0.7486	0.7364	0.7794	0.7786	0.9605	0.8602
https://bmovies.cloud/film/stone-cold-takes-on-america-96169/	0.8332	0.7563	0.7486	0.7364	0.7794	0.7786	0.9605	0.8602
https://dopebox.to/tv/watch-stone-cold-takes-on-america-online-hd-96169	0.8332	0.7563	0.7486	0.7364	0.7794	0.7786	0.9605	0.8602
https://www3.moviecrumbs.net/tv/watch-v-stone-cold-takes-on-america-.989-96169	0.8332	0.7563	0.7486	0.7364	0.7794	0.7786	0.9605	0.8602
https://bmovies.cloud/film/masterchef-goes-large-34878/	0.8332	0.7563	0.7486	0.7364	0.7794	0.7786	0.9605	0.8602
https://bmovies.cloud/film/violent-minds-killers-on-tape-95116/	0.8332	0.7563	0.7486	0.7364	0.7794	0.7786	0.9605	0.8602
https://bmovies.cloud/film/judy-justice-73993/	0.8332	0.7563	0.7486	0.7364	0.7794	0.7786	0.9605	0.8602
https://bmovies.cloud/film/lego-masters-44333/	0.8332	0.7563	0.7486	0.7364	0.7794	0.7786	0.9605	0.8602
https://bmovies.cloud/film/the-brokenwood-mysteries-37090/	0.8332	0.7563	0.7486	0.7364	0.7794	0.7786	0.9605	0.8602
https://bmovies.cloud/film/the-brokenwood-mysteries-37090/	0.8540	0.7868	0.7800	0.7693	0.8069	0.8062	0.9654	0.8777
https://bmovies.cloud/film/historys-greatest-mysteries-65432/	0.8540	0.7868	0.7800	0.7693	0.8069	0.8062	0.9654	0.8777
https://dopebox.to/tv/watch-saint-x-online-hd-95929	0.8540	0.7868	0.7800	0.7693	0.8069	0.8062	0.9654	0.8777
https://www3.moviecrumbs.net/tv/watch-v-saint-x-.989-95929	0.8540	0.7868	0.7800	0.7693	0.8069	0.8062	0.9654	0.8777
https://bmovies.cloud/film/the-last-thing-he-told-me-95254/	0.8540	0.7868	0.7800	0.7693	0.8069	0.8062	0.9654	0.8777
https://bmovies.cloud/film/ncis-hawaii-72301/	0.8540	0.7868	0.7800	0.7693	0.8069	0.8062	0.9654	0.8777
https://dopebox.to/tv/watch-queen-of-masks-online-hd-96124	0.8540	0.7868	0.7800	0.7693	0.8069	0.8062	0.9654	0.8777
https://www3.moviecrumbs.net/tv/watch-v-queen-of-masks-.989-96124	0.8540	0.7868	0.7800	0.7693	0.8069	0.8062	0.9654	0.8777
https://dopebox.to/tv/watch-tooth-pari-when-love-bites-online-hd-95974	0.8540	0.7868	0.7800	0.7693	0.8069	0.8062	0.9654	0.8777
https://www3.moviecrumbs.net/tv/watch-v-tooth-pari-when-love-bites-.989-95974	0.8540	0.7868	0.7800	0.7693	0.8069	0.8062	0.9654	0.8777
https://www3.moviecrumbs.net/tv/watch-v-how-to-get-rich-.989-95533	0.8703	0.8105	0.7859	0.7579	0.8222	0.8167	0.9688	0.8868
https://www3.moviecrumbs.net/tv/watch-v-white-house-plumbers-.989-96157	0.8703	0.8105	0.7859	0.7579	0.8222	0.8167	0.9688	0.8868
https://bmovies.cloud/film/the-real-housewives-of-cheshire-20718/	0.8703	0.8105	0.7859	0.7579	0.8222	0.8167	0.9688	0.8868
https://bmovies.cloud/film/masterchef-goes-large-34878/	0.8703	0.8105	0.7859	0.7579	0.8222	0.8167	0.9688	0.8868
https://bmovies.cloud/film/violent-minds-killers-on-tape-95116/	0.8703	0.8105	0.7859	0.7579	0.8222	0.8167	0.9688	0.8868
https://bmovies.cloud/film/judy-justice-73993/	0.8703	0.8105	0.7859	0.7579	0.8222	0.8167	0.9688	0.8868
https://bmovies.cloud/film/lego-masters-44333/	0.8703	0.8105	0.7859	0.7579	0.8222	0.8167	0.9688	0.8868
https://bmovies.cloud/film/the-brokenwood-mysteries-37090/	0.8703	0.8105	0.7859	0.7579	0.8222	0.8167	0.9688	0.8868
https://bmovies.cloud/film/wicked-tuna-36308/	0.8703	0.8105	0.7859	0.7579	0.8222	0.8167	0.9688	0.8868
https://bmovies.cloud/film/stone-cold-takes-on-america-96169/	0.8703	0.8105	0.7859	0.7579	0.8222	0.8167	0.9688	0.8868
https://www3.moviecrumbs.net/tv/watch-v-how-to-get-rich-.989-95533	0.8117	0.7352	0.7142	0.6880	0.7537	0.7521	0.9250	0.8364
https://www3.moviecrumbs.net/tv/watch-v-white-house-plumbers-.989-96157	0.8117	0.7352	0.7142	0.6880	0.7537	0.7521	0.9250	0.8364
https://bmovies.cloud/film/the-real-housewives-of-cheshire-20718/	0.8117	0.7352	0.7142	0.6880	0.7537	0.7521	0.9250	0.8364
https://bmovies.cloud/film/masterchef-goes-large-34878/	0.8117	0.7352	0.7142	0.6880	0.7537	0.7521	0.9250	0.8364
https://bmovies.cloud/film/violent-minds-killers-on-tape-95116/	0.8117	0.7352	0.7142	0.6880	0.7537	0.7521	0.9250	0.8364
https://bmovies.cloud/film/judy-justice-73993/	0.8117	0.7352	0.7142	0.6880	0.7537	0.7521	0.9250	0.8364
https://bmovies.cloud/film/lego-masters-44333/	0.8117	0.7352	0.7142	0.6880	0.7537	0.7521	0.9250	0.8364
https://bmovies.cloud/film/the-brokenwood-mysteries-37090/	0.8117	0.7352	0.7142	0.6880	0.7537	0.7521	0.9250	0.8364
https://bmovies.cloud/film/wicked-tuna-36308/	0.8117	0.7352	0.7142	0.6880	0.7537	0.7521	0.9250	0.8364
https://bmovies.cloud/film/stone-cold-takes-on-america-96169/	0.8117	0.7352	0.7142	0.6880	0.7537	0.7521	0.9250	0.8364
